member_csv,age_range,tier,"500000","700000","1000000","1500000","2000000","2500000","3000000","4000000","5000000","6000000","7500000"
"1a,4c",51-55,tier-1,29739.0,34600.0,39241.0,50587.0,54670.0,58198.0,64210.0,79483.0,136551.0,159728.0,212243.0
2a,51-55,tier-1,27122.0,31408.0,35217.0,43364.0,45823.0,48173.0,56233.0,72360.0,136399.0,166637.0,201430.0
"2a,1c",51-55,tier-1,30671.0,37798.0,42056.0,50491.0,54238.0,58431.0,65647.0,83664.0,156510.0,188794.0,231625.0
"2a,2c",51-55,tier-1,34357.0,42518.0,46382.0,55636.0,62191.0,66297.0,75062.0,94969.0,176622.0,210950.0,261820.0
"2a,3c",51-55,tier-1,39503.0,46216.0,52588.0,66149.0,70143.0,74741.0,84477.0,106273.0,191815.0,228445.0,287635.0
"2a,4c",51-55,tier-1,43857.0,51152.0,57003.0,71829.0,76143.0,83185.0,93891.0,117577.0,206002.0,246329.0,313350.0
1a,56-60,tier-1,21470.0,24789.0,27981.0,33655.0,35732.0,37514.0,43887.0,55998.0,106596.0,131305.0,159804.0
"1a,1c",56-60,tier-1,23485.0,27724.0,31884.0,37907.0,40346.0,42777.0,48714.0,61555.0,116588.0,141799.0,175273.0
"1a,2c",56-60,tier-1,27603.0,32084.0,36630.0,44869.0,47702.0,50589.0,57409.0,71950.0,134102.0,160241.0,202878.0
"1a,3c",56-60,tier-1,32068.0,36755.0,42295.0,52391.0,55655.0,59298.0,67492.0,83254.0,142419.0,169516.0,219153.0
"1a,4c",56-60,tier-1,35436.0,41327.0,47037.0,59913.0,64494.0,67794.0,76238.0,94558.0,157555.0,187050.0,244508.0
2a,56-60,tier-1,34522.0,39915.0,44952.0,54923.0,58224.0,60868.0,71395.0,91408.0,177372.0,217155.0,263005.0
"2a,1c",56-60,tier-1,37748.0,46805.0,52835.0,62926.0,66983.0,71817.0,81078.0,103064.0,198182.0,240192.0,294234.0
"2a,2c",56-60,tier-1,41559.0,51907.0,56982.0,68596.0,75612.0,80268.0,91312.0,115409.0,220295.0,264775.0,327401.0
"2a,3c",56-60,tier-1,47704.0,55884.0,63848.0,79392.0,84400.0,89599.0,101734.0,127980.0,234373.0,284005.0,355755.0
"2a,4c",56-60,tier-1,51585.0,60267.0,67423.0,83975.0,89229.0,98094.0,110141.0,138018.0,245017.0,298270.0,377127.0
1a,61-65,tier-1,25649.0,29576.0,32743.0,40036.0,42642.0,43919.0,52594.0,66791.0,123643.0,153873.0,188825.0
"1a,1c",61-65,tier-1,26635.0,31473.0,35486.0,42655.0,45561.0,48291.0,55333.0,69822.0,130557.0,159600.0,197769.0
"1a,2c",61-65,tier-1,29858.0,34788.0,39933.0,48115.0,51327.0,54414.0,62141.0,77952.0,142040.0,175238.0,219339.0
"1a,3c",61-65,tier-1,31759.0,36513.0,42241.0,51426.0,54804.0,59564.0,66851.0,82646.0,142268.0,179649.0,230164.0
"1a,4c",61-65,tier-1,34636.0,40533.0,46372.0,58046.0,63045.0,66858.0,74503.0,92678.0,160663.0,193149.0,251181.0
2a,61-65,tier-1,38072.0,46747.0,52899.0,64076.0,68170.0,71141.0,83897.0,106797.0,202320.0,250283.0,305697.0
"2a,1c",61-65,tier-1,40453.0,52891.0,57598.0,68860.0,75446.0,80759.0,91709.0,116207.0,219125.0,268937.0,330937.0
"2a,2c",61-65,tier-1,43475.0,57518.0,61027.0,73166.0,83348.0,88347.0,101112.0,127622.0,239685.0,292151.0,361847.0
"2a,3c",61-65,tier-1,51460.0,60390.0,69360.0,84944.0,90607.0,96053.0,109730.0,138032.0,251874.0,306715.0,384016.0
"2a,4c",61-65,tier-1,56601.0,65905.0,73507.0,91378.0,96857.0,102063.0,121984.0,152994.0,271184.0,331942.0,418824.0
1a,66-70,tier-1,37743.0,43503.0,49465.0,58823.0,62811.0,67078.0,79131.0,99205.0,174303.0,215699.0,270469.0
"1a,1c",66-70,tier-1,38411.0,44332.0,51967.0,59665.0,63933.0,68863.0,79334.0,100023.0,175132.0,218458.0,272991.0
"1a,2c",66-70,tier-1,41121.0,48024.0,55879.0,65788.0,70411.0,75748.0,87026.0,109289.0,182019.0,233209.0,297779.0
"1a,3c",66-70,tier-1,42434.0,48942.0,57369.0,68164.0,72883.0,80284.0,90677.0,112369.0,183407.0,234531.0,304201.0
"1a,4c",66-70,tier-1,44923.0,52766.0,61139.0,74652.0,81348.0,87346.0,97961.0,122255.0,201877.0,248336.0,323077.0
2a,66-70,tier-1,63925.0,73705.0,84438.0,100745.0,107507.0,113860.0,134881.0,170972.0,302874.0,380822.0,471145.0
"2a,1c",66-70,tier-1,68802.0,82324.0,93943.0,109336.0,117171.0,127566.0,145166.0,183504.0,325144.0,406319.0,504917.0
"2a,2c",66-70,tier-1,71650.0,84744.0,98130.0,114200.0,122298.0,132660.0,151171.0,190622.0,337821.0,415606.0,523782.0
"2a,3c",66-70,tier-1,75417.0,88666.0,100493.0,123617.0,132298.0,140596.0,163194.0,205321.0,349512.0,429920.0,546687.0
"2a,4c",66-70,tier-1,79594.0,95104.0,104778.0,127511.0,138733.0,144988.0,172228.0,216243.0,360544.0,441562.0,567810.0
1a,71-75,tier-1,46707.0,54403.0,61987.0,73612.0,78747.0,84255.0,99620.0,126066.0,210034.0,267903.0,335167.0
"1a,1c",71-75,tier-1,47028.0,55139.0,63834.0,74862.0,80380.0,86759.0,100234.0,126409.0,212428.0,268061.0,337005.0
"1a,2c",71-75,tier-1,51748.0,58771.0,68599.0,80289.0,86113.0,92841.0,107004.0,134519.0,217821.0,282471.0,358669.0
"1a,3c",71-75,tier-1,52341.0,60491.0,69727.0,83931.0,89935.0,96309.0,112523.0,139665.0,219801.0,282595.0,361304.0
"1a,4c",71-75,tier-1,55475.0,64030.0,74818.0,90179.0,96756.0,103063.0,119278.0,149161.0,237955.0,296654.0,382982.0
2a,71-75,tier-1,83717.0,96539.0,109226.0,131971.0,141111.0,147865.0,178315.0,225740.0,381203.0,484700.0,604932.0
"2a,1c",71-75,tier-1,90425.0,102285.0,115463.0,142898.0,153110.0,162072.0,193495.0,243243.0,399165.0,504900.0,641932.0
"2a,2c",71-75,tier-1,90874.0,105930.0,118562.0,144665.0,154478.0,165270.0,194682.0,245138.0,403014.0,509932.0,643562.0
"2a,3c",71-75,tier-1,94422.0,110599.0,120901.0,150633.0,161015.0,171703.0,199867.0,255500.0,414413.0,521963.0,663920.0
"2a,4c",71-75,tier-1,97073.0,112564.0,124309.0,156630.0,167047.0,175712.0,209605.0,264801.0,427839.0,536733.0,682721.0
1a,76-99,tier-1,60102.0,69693.0,78646.0,94397.0,101161.0,107050.0,128471.0,162519.0,261214.0,332165.0,426427.0
"1a,1c",76-99,tier-1,60121.0,70574.0,79032.0,95752.0,102496.0,108622.0,129050.0,162823.0,261316.0,334386.0,427294.0
"1a,2c",76-99,tier-1,63844.0,73026.0,84636.0,100558.0,107007.0,115613.0,133651.0,168204.0,266960.0,339163.0,443068.0
"1a,3c",76-99,tier-1,65027.0,75305.0,84864.0,103125.0,109622.0,116835.0,137910.0,174955.0,268639.0,339436.0,444627.0
"1a,4c",76-99,tier-1,68378.0,79105.0,89712.0,109318.0,116912.0,123479.0,146489.0,183562.0,284440.0,354254.0,463690.0
2a,76-99,tier-1,108431.0,123474.0,133478.0,168626.0,176270.0,181193.0,222223.0,289979.0,477561.0,605836.0,768582.0
"2a,1c",76-99,tier-1,112974.0,125563.0,137507.0,176509.0,190468.0,197414.0,237270.0,299772.0,482054.0,611101.0,799180.0
"2a,2c",76-99,tier-1,115593.0,130767.0,141991.0,181744.0,194942.0,205211.0,246501.0,311778.0,493728.0,625011.0,808158.0
"2a,3c",76-99,tier-1,117540.0,132595.0,142922.0,187961.0,198611.0,205877.0,254317.0,320406.0,507445.0,635591.0,824541.0
"2a,4c",76-99,tier-1,123026.0,135773.0,148281.0,193711.0,203105.0,211013.0,262190.0,330751.0,519520.0,651669.0,845044.0


